Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H4N2,IgGIA1H4N3F1,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N4F2,IgGIA1H4N5F1,IgGIA1H5N2,IgGIA1H5N3F1,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N4F1S2,IgGIA1H5N4F2,IgGIA1H5N4F2S1,IgGIA1H5N5F1,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGIF1H3N3F1,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H4N2,IgGIF1H4N3F1,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H5N2,IgGIF1H5N3F1,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H5N4F2S1,IgGIF1H5N5F1,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGI1H3N3F1,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H4N2,IgGI1H4N3F1,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H4N5F1,IgGI1H5N2,IgGI1H5N3F1,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H5N4F2,IgGI1H5N4F2S1,IgGI1H5N5F1,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIILE1H3N3F1,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H4N2,IgGIILE1H4N3F1,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N4F2,IgGIILE1H4N5F1,IgGIILE1H5N2,IgGIILE1H5N3F1,IgGIILE1H5N4F1,IgGIILE1H5N4F1S1,IgGIILE1H5N4F1S2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N5F1,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1
"YI-NO_3_1-A,3_01_64539.raw",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10286586.64,9567538.83,593138.258,993166.4334,6026207.691,2922403.69,71912.67629,,190365.4156,8009401.456,5785410.686,655947.0048,33226.80053,0,0,0,0,1261670.07,2258651.175,315881.4562
"stand_01_1-E,3_01_64563.raw",2,,,,,,,,,,,,,,,,,,,,,5219692.49,5555860.282,1527209.38,166559.4976,4219550.285,5698364.333,777485.4785,85120.64379,715293.1906,47058.40756,48160.26101,3244179.256,2731974.821,69567.68406,316420.5437,0,297867.7477,21706.58293,85986.65464,44109.72407,6490846.666,5788607.395,1159456.475,27070.55255,6789744.308,8891879.424,631034.5432,113408.069,1203506.344,86668.98675,93795.56211,5749304.235,2984763.904,75704.16453,186864.3824,,374144.57,4478.400009,88569.35758,87912.46947,,,,,,,,,,,,,,,,,,,,
"stand_02_1-B,1_01_64452.raw",2,,,,,,,,,,,,,,,,,,,,,4644869.971,5381757.587,1568124.006,137403.9475,3620089.118,5722245.392,844930.1066,81307.7066,755447.5967,64240.83144,58635.10078,3288290.95,2866910.45,80039.76039,250023.3393,0,284528.97,21871.09436,58981.80414,33144.02082,6085571.99,5915898.353,1379193.718,25419.31291,6243203.108,9235893.656,620127.2949,123285.9023,1530519.877,92556.79947,90859.84334,6045185.707,3394083.046,93423.63142,202401.831,,471790.0394,6573.649183,70232.10958,104136.4857,,,,,,,,,,,,,,,,,,,,
"Y-NO_1_1-D,3_01_64557.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3779023.985,0,0,0,6268208.241,262637.0504,0,0,,628244.7707,2601488.019,,317900.3055,0,0,170990.5105,0,0,373498.722,,,,,,,,,,,,,,,,,,,,
"Y-NO_2_1-G,1_01_64482.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4024213.084,0,0,0,6086522.004,295396.6221,0,0,,695120.9245,2547168.75,,454820.7638,0,0,170224.5572,0,0,456284.5246,,,,,,,,,,,,,,,,,,,,
"Y-NO_3_1-C,4_01_64599.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3758422.251,0,0,0,6259920.779,227166.7005,0,0,,663219.7091,2817822.937,,315042.2878,0,0,186240.9639,0,0,434272.607,,,,,,,,,,,,,,,,,,,,
"Y-WT_1_2-H,2_01_64733.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4760101.071,0,0,0,7750727.85,281422.1497,0,0,,728019.4016,3371153.039,,337561.3513,0,0,248967.4877,0,0,537567.2913,,,,,,,,,,,,,,,,,,,,
"Y-WT_2_1-F,2_01_64521.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2658644.927,0,0,0,4337040.524,109277.2971,0,0,,394900.2686,1639445.449,,123210.4714,0,0,105621.8339,0,0,187124.7541,,,,,,,,,,,,,,,,,,,,
"Y-WT_3_1-F,3_01_64569.raw",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4108266.817,0,0,0,6775926.141,239099.4469,0,0,,741653.7419,3065005.378,,349424.0098,0,0,241788.942,0,0,582120.7811,,,,,,,,,,,,,,,,,,,,
"YA-NO_1_1-F,1_01_64476.raw",3,0,3410872.345,0,0,0,1380367.329,121257.2834,0,0,0,1407625.67,443477.7677,0,0,0,0,0,0,0,452447.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YA-NO_2_1-D,2_01_64509.raw",3,0,3845538.524,0,0,0,1591982.071,105269.5571,0,0,0,1224446.728,389568.3143,0,0,0,0,0,0,0,422837.5885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"YA-NO_3_1-D,1_01_64464.raw",3,0,4015407.015,0,0,0,1694279.206,134425.7469,0,0,0,1432083.616,511231.6138,0,0,0,0,0,0,0,543259.9873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
