Sample,Charge,IgGIA1H3N3F1,IgGIA1H3N4F1,IgGIA1H3N5F1,IgGIA1H4N3F1,IgGIA1H4N4F1,IgGIA1H4N4F1S1,IgGIA1H4N5F1,IgGIA1H5N3F1,IgGIA1H5N4F1,IgGIA1H5N4F1S1,IgGIA1H5N2,IgGIA1H6N2,IgGIA1H6N3F1,IgGIA1H6N3F1S1,IgGI1H3N3F1,IgGI1H3N4F1,IgGI1H3N5F1,IgGI1H4N3F1,IgGI1H4N4F1,IgGI1H4N4F1S1,IgGI1H4N4F2,IgGI1H5N3F1,IgGI1H5N4F1,IgGI1H5N4F1S1,IgGI1H5N4F1S2,IgGI1H4N5F1,IgGI1H5N4F2,IgGI1H5N2,IgGI1H5N5F1,IgGI1H6N2,IgGI1H6N3F1,IgGI1H6N3F1S1,IgGIF1H3N3F1,IgGIF1H3N4F1,IgGIF1H3N5F1,IgGIF1H4N3F1,IgGIF1H4N4F1,IgGIF1H4N4F1S1,IgGIF1H4N4F2,IgGIF1H4N5F1,IgGIF1H5N3F1,IgGIF1H5N2,IgGIF1H5N4F1,IgGIF1H5N4F1S1,IgGIF1H5N4F1S2,IgGIF1H5N4F2,IgGIF1H6N2,IgGIF1H6N3F1,IgGIF1H6N3F1S1,IgGIF1H5N5F1,IgGIILE1H3N3F1,IgGIILE1H3N4F1,IgGIILE1H3N5F1,IgGIILE1H4N4F1,IgGIILE1H4N4F1S1,IgGIILE1H4N5F1,IgGIILE1H5N3F1,IgGIILE1H5N4F1,IgGIILE1H5N2,IgGIILE1H6N2,IgGIILE1H6N3F1,IgGIILE1H6N3F1S1,IgGIILE1H4N3F1,IgGIILE1H5N4F1S1,IgGIILE1H4N4F2,IgGIILE1H5N4F2,IgGIILE1H5N4F2S1,IgGIILE1H5N5F1
"id_21_2-F,2_01_55417.raw",2,2309201.752,4644278.109,222490.3358,1891159.227,1147160.192,128052.6678,69981.92141,2195125.705,332894.7516,,1415498.601,314496.5666,853312.4348,158974.5154,,,,,,,,,,,,,,,,,,,8911078.418,19653898.66,1973358.205,5085134.42,12786856.81,350344.2534,400211.9425,962774.5396,3605336.904,3516964.99,3016232.156,393454.6646,147010.3633,233917.003,624475.3125,1809313.407,458213.3198,140133.8858,,,,,,,,,,,,,,,,,,
"id_22_2-H,2_01_55423.raw",2,2482152.023,4941720.318,236505.7627,1990713.752,1211180.653,143771.8576,78907.56566,2312451.73,339783.3307,,1513853.166,314907.8237,889270.3339,167011.7008,688808.8913,903751.5938,361931.5171,833540.0741,586832.1279,49351.69394,32802.49113,475297.6878,228687.7686,21918.16676,13286.57157,,32536.44564,436917.5522,243348.7143,95185.14396,235947.3351,67918.02389,72258.51783,73650.59668,87511.16892,71484.77886,77468.47692,176878.6797,76978.74191,12805.6399,48679.71443,378200.925,58499.8973,28517.99558,59120.09456,49135.23922,,60787.51246,18838.86813,,10772910.93,17778204.45,1104887.875,6718589.754,193953.0547,352141.8516,11749436.64,1931727.782,9743258.014,1974906.217,4886107.476,933434.6756,2046035.529,87775.98918,,,,
"id_23_2-F,1_01_55393.raw",2,,,,,,,,,,,,,,,790396.6487,1006660.908,478608.8947,542835.5337,667470.4628,36551.60913,37165.66987,533924.8593,226926.5844,25488.97146,17014.86074,,44603.91623,552089.5355,339415.5711,118141.5111,285153.2759,114259.0713,4077525.265,9058572.923,634618.0395,1655335.874,5839045.749,360177.0617,211742.4502,380002.5349,1336833.686,1919606.297,1224774.85,135564.6384,116773.3702,69289.65126,206594.8172,790670.6052,174843.8491,46677.70887,11844106.39,19963806.02,1339642.208,7780279.577,247591.9346,411528.5042,14602847.34,2512679.107,12211623.19,2610653.307,6342105.034,1324977.837,3627743.032,131482.4217,,,,
"id_24_2-C,4_01_55456.raw",2,,,,,,,,,,,,,,,842147.9498,1088701.152,444660.2222,363053.5472,506073.8916,15459.86087,32365.04615,338616.7296,99453.16687,7045.132258,6457.548888,,6746.758852,365940.2062,35340.48744,132162.0614,70499.91029,20725.68024,75164.36222,116333.9121,42274.07909,18244.5396,70386.02206,180299.8721,86299.41342,6495.759431,108415.6335,421560.3703,29462.24034,24293.12407,97815.10792,26469.54698,29691.57077,35041.07388,17998.78453,7111.399544,14718506.25,29036434.94,1714179.137,10434844.85,249085.0707,421555.9266,12924892.77,2467348.757,11452061.32,2293467.189,5654395.634,1118526.885,4835202.209,112351.5062,,,,
"id_01_2-E,1_01_55390.raw",3,,,,,,,,,,,0,,,,,3710727.612,,,8142228.069,470230.7119,0,783026.9014,3562575.347,1289288.824,1014958.404,,0,0,348131.3831,,,,,609519.375,,,641364.6524,970148.5838,0,,225435.371,0,323171.8561,380187.0675,88757.89471,,,,,131001.7729,,91083.05206,,275792.8669,17594.91373,,85633.33483,1412811.383,0,,,,,86247.56006,,,,
"id_02_2-B,3_01_55429.raw",3,,,,,,,,,,,0,,,,,3378994.064,,,7409225.539,881794.9409,0,609535.8538,3088500.323,2030986.525,961847.967,,0,0,382630.8933,,,,,966208.1574,,,1357579.199,1680737.66,0,,362023.8453,0,661905.2363,1751316.724,125760.3709,,,,,223525.9994,,,,,,,,,0,,,,,,,,,
"id_03_2-D,4_01_55459.raw",3,,,,,,,,,,,0,,,,,3580152.246,,,8003925.139,563190.4343,0,709512.0882,3294093.652,1059025.556,889275.6658,,0,0,316637.0695,,,,,,,,,,0,,,0,,,,,,,,,,159658.766,,375036.207,11876.3075,,228268.1784,1890080.689,0,,,,,135537.9705,,,,
"id_04_2-F,3_01_55441.raw",3,,3104887.715,,,1565377.485,320299.82,,1424200.02,709219.2764,,0,,,,,,,,,,0,,,,,,0,0,,,,,,283421.795,,,296025.6708,63879.34994,0,,40058.81006,0,200055.6249,115416.4203,65055.46949,,,,,237649.5847,,,,,,,,,0,,,,,,,,,
"id_05_2-B,1_01_55381.raw",3,,3051463.515,,,1695707.734,711394.349,,1240537.76,633589.5974,,0,,,,,1442775.291,,,3589692.379,462743.6576,0,786159.4199,1445523.487,987401.6327,172790.0432,,0,0,394527.6542,,,,,871707.3942,,,1224496.976,862015.074,0,,34573.96476,0,556356.0443,1083939.868,52222.1923,,,,,280924.8177,,,,,,,,,0,,,,,,,,,
"id_06_2-H,3_01_55447.raw",3,,2849534.487,,,1465483.824,433038.4674,,1295171.572,608452.8521,,0,,,,,,,,,,0,,,,,,0,0,,,,,,426140.6534,,,331323.2451,121760.222,0,,58120.16033,0,205248.9451,87834.57308,164131.2653,,,,,210909.5952,,,,,,,,,0,,,,,,,,,
