"","HC","peptide","glycan","det_rate_2","det_rate_3","flag"
"304","YI","IgGIILE","H4N2",1,1,0
"305","YI","IgGIILE","H4N3F1",1,1,0
"306","YI","IgGIILE","H4N4F1",1,1,0
"307","YI","IgGIILE","H4N4F1S1",1,1,0
"308","YI","IgGIILE","H4N4F2",0,0,0
"309","YI","IgGIILE","H4N5F1",1,1,0
"310","YI","IgGIILE","H5N2",1,1,0
"311","YI","IgGIILE","H5N3F1",1,1,0
"312","YI","IgGIILE","H5N4F1",1,1,0
"313","YI","IgGIILE","H5N4F1S1",1,1,0
"314","YI","IgGIILE","H5N4F1S2",1,0,1
"315","YI","IgGIILE","H5N4F2",0,0,0
"316","YI","IgGIILE","H5N4F2S1",0,0,0
"317","YI","IgGIILE","H5N5F1",0,0,0
"318","YI","IgGIILE","H6N2",1,1,0
"319","YI","IgGIILE","H6N3F1",1,1,0
"320","YI","IgGIILE","H6N3F1S1",1,1,0
